date,tic,target_date,pred_return,real_return,alpha,l1_ratio
2020-02-01,1101,2020-03-01,0.007340374183053746,-0.0650887573964497,0.0006422325422229357,
2020-02-01,1102,2020-03-01,-0.00035766294207498564,-0.1116121758737318,0.0006422325422229357,
2020-02-01,1104,2020-03-01,-0.006969835784795389,-0.1098591549295774,0.0006422325422229357,
2020-02-01,1109,2020-03-01,-0.012258854894063921,-0.0560471976401178,0.0006422325422229357,
2020-02-01,1203,2020-03-01,-0.014385704741015814,-0.0205607476635513,0.0006422325422229357,
2020-02-01,1210,2020-03-01,-0.014499889762390654,-0.083126550868486,0.0006422325422229357,
2020-02-01,1215,2020-03-01,-0.015296914335049193,-0.0498392282958198,0.0006422325422229357,
2020-02-01,1216,2020-03-01,-0.013843115144837284,-0.1038251366120219,0.0006422325422229357,
2020-02-01,1219,2020-03-01,-0.013241363792453366,0.0312499999999997,0.0006422325422229357,
2020-02-01,1220,2020-03-01,-0.01146356154731293,-0.0195121951219511,0.0006422325422229357,
2020-02-01,1225,2020-03-01,-0.01699069480107683,-0.0303030303030303,0.0006422325422229357,
2020-02-01,1227,2020-03-01,-0.022130323347986362,-0.101620029455081,0.0006422325422229357,
2020-02-01,1229,2020-03-01,-0.012903392455117575,-0.0197368421052632,0.0006422325422229357,
2020-02-01,1231,2020-03-01,-0.014707734948832766,-0.0498783454987835,0.0006422325422229357,
2020-02-01,1232,2020-03-01,-0.024632468677403638,-0.1065573770491802,0.0006422325422229357,
2020-02-01,1233,2020-03-01,-0.013971374028712081,-0.1194225721784777,0.0006422325422229357,
2020-02-01,1234,2020-03-01,-0.010308094201029608,-0.0799999999999999,0.0006422325422229357,
2020-02-01,1235,2020-03-01,0.011729443419171658,0.0396475770925111,0.0006422325422229357,
2020-02-01,1256,2020-03-01,-0.022189905721816068,-0.1287128712871287,0.0006422325422229357,
2020-02-01,1303,2020-03-01,-0.002311698702687685,-0.1967694566813509,0.0006422325422229357,
2020-02-01,1307,2020-03-01,-0.015656819873983093,-0.2209567198177675,0.0006422325422229357,
2020-02-01,1319,2020-03-01,-0.012454556135465812,-0.1784338896020539,0.0006422325422229357,
2020-02-01,1323,2020-03-01,-0.012405823504702103,-0.103030303030303,0.0006422325422229357,
2020-02-01,1339,2020-03-01,-0.0131566955333637,-0.2133479212253829,0.0006422325422229357,
2020-02-01,1341,2020-03-01,-0.0158125679985187,-0.022108843537415,0.0006422325422229357,
2020-02-01,1402,2020-03-01,0.005021559942904891,-0.2017699115044247,0.0006422325422229357,
2020-02-01,1409,2020-03-01,-0.0069910465776510606,-0.1836734693877549,0.0006422325422229357,
2020-02-01,1410,2020-03-01,-0.012412456585116865,-0.0311418685121107,0.0006422325422229357,
2020-02-01,1419,2020-03-01,-0.015515168719097245,-0.107843137254902,0.0006422325422229357,
2020-02-01,1434,2020-03-01,-0.007559130150567835,-0.080597014925373,0.0006422325422229357,
