,mean,std,sharpe,annual_return,total_return,CAGR,MDD(%),Calmar
0,0.000611,0.01034,0.937689,0.166341,0.931188,0.150634,-0.291022,0.517604
1,0.000633,0.00899,1.117522,0.172855,1.013189,0.160881,-0.255061,0.630753
2,0.000805,0.009274,1.377834,0.224777,1.459256,0.211486,-0.236648,0.893674
3,0.000944,0.01188,1.261536,0.268466,1.80527,0.245969,-0.231594,1.06207
benchmark,0.000783,0.010799,1.150879,0.217998,1.352648,0.200094,-0.278603,0.718204
