date,month,rank,buy_turnover,sell_turnover,trade_cost,n_names
2020-03-02,2020-03-01,0,0.9999999999999997,0.0,0.0014249999999999996,119
2020-03-02,2020-03-01,1,1.0000000000000002,0.0,0.0014250000000000003,118
2020-03-02,2020-03-01,2,1.0000000000000002,0.0,0.0014250000000000003,118
2020-03-02,2020-03-01,3,0.9999999999999997,0.0,0.0014249999999999996,119
2020-04-01,2020-04-01,0,0.592243771748724,0.5922437717487241,0.003464626064730036,119
2020-04-01,2020-04-01,1,0.751834605011892,0.7518346050118919,0.004398232439319568,118
2020-04-01,2020-04-01,2,0.714971103281544,0.7149711032815441,0.004182580954197033,118
2020-04-01,2020-04-01,3,0.6827399751616312,0.6827399751616314,0.003994028854695544,119
2020-05-04,2020-05-01,0,0.5791875864567402,0.5791875864567402,0.00338824738077193,119
2020-05-04,2020-05-01,1,0.754836423119458,0.7548364231194581,0.004415793075248829,118
2020-05-04,2020-05-01,2,0.6961040750455467,0.6961040750455467,0.004072208839016448,118
2020-05-04,2020-05-01,3,0.5787937614872609,0.5787937614872609,0.0033859435047004765,119
2020-06-01,2020-06-01,0,0.6262081943188103,0.6262081943188103,0.0036633179367650402,119
2020-06-01,2020-06-01,1,0.7467177801914028,0.7467177801914029,0.004368299014119707,118
2020-06-01,2020-06-01,2,0.7091164162638599,0.7091164162638601,0.0041483310351435815,118
2020-06-01,2020-06-01,3,0.659575846834217,0.659575846834217,0.0038585187039801693,119
2020-07-01,2020-07-01,0,0.5255959480197083,0.5255959480197083,0.003074736295915294,119
2020-07-01,2020-07-01,1,0.6184953102054539,0.6184953102054539,0.0036181975647019055,118
2020-07-01,2020-07-01,2,0.66709702928586,0.66709702928586,0.0039025176213222813,118
2020-07-01,2020-07-01,3,0.5044730399977584,0.5044730399977586,0.0029511672839868876,119
2020-08-03,2020-08-01,0,0.5537997797690855,0.5537997797690857,0.003239728711649151,119
2020-08-03,2020-08-01,1,0.7119489340147489,0.7119489340147489,0.004164901263986281,118
2020-08-03,2020-08-01,2,0.7020675013392493,0.7020675013392492,0.004107094882834608,118
2020-08-03,2020-08-01,3,0.5635451258109578,0.5635451258109581,0.0032967389859941045,119
2020-09-01,2020-09-01,0,0.47509070729718084,0.47509070729718084,0.0027792806376885078,119
2020-09-01,2020-09-01,1,0.6756748283115799,0.6756748283115801,0.003952697745622744,118
2020-09-01,2020-09-01,2,0.6537022283362075,0.6537022283362076,0.0038241580357668147,118
2020-09-01,2020-09-01,3,0.47997722923083236,0.4799772292308324,0.00280786679100037,119
2020-10-05,2020-10-01,0,0.4096904024463299,0.40969040244633004,0.002396688854311031,119
2020-10-05,2020-10-01,1,0.6764238044220661,0.6764238044220662,0.003957079255869087,118
2020-10-05,2020-10-01,2,0.6672713699983703,0.6672713699983703,0.0039035375144904666,118
2020-10-05,2020-10-01,3,0.46000349471957236,0.4600034947195723,0.002691020444109498,119
2020-11-02,2020-11-01,0,0.6798864205794941,0.6798864205794941,0.00397733556039004,119
2020-11-02,2020-11-01,1,0.741754698877428,0.7417546988774282,0.004339264988432955,118
2020-11-02,2020-11-01,2,0.7089237387735882,0.7089237387735883,0.0041472038718254915,118
2020-11-02,2020-11-01,3,0.5997941249793168,0.5997941249793171,0.0035087956311290044,119
2020-12-01,2020-12-01,0,0.6673572176107556,0.6673572176107556,0.003904039723022921,119
2020-12-01,2020-12-01,1,0.7302175394189031,0.7302175394189032,0.004271772605600584,118
2020-12-01,2020-12-01,2,0.7274569547905846,0.7274569547905847,0.00425562318552492,118
2020-12-01,2020-12-01,3,0.6736848241178883,0.6736848241178883,0.003941056221089647,119
2021-01-04,2021-01-01,0,0.5138166490469774,0.5138166490469774,0.003005827396924818,119
2021-01-04,2021-01-01,1,0.7108826463652921,0.7108826463652922,0.004158663481236959,118
2021-01-04,2021-01-01,2,0.7121262742154547,0.712126274215455,0.0041659387041604115,118
2021-01-04,2021-01-01,3,0.4916817600526312,0.49168176005263114,0.0028763382963078923,119
2021-02-01,2021-02-01,0,0.518592039384907,0.5185920393849068,0.0030337634304017052,119
2021-02-01,2021-02-01,1,0.7140693768932094,0.7140693768932094,0.004177305854825275,118
2021-02-01,2021-02-01,2,0.6703754383212419,0.6703754383212419,0.003921696314179266,118
2021-02-01,2021-02-01,3,0.4911712641471703,0.4911712641471705,0.0028733518952609475,119
2021-03-02,2021-03-01,0,0.5755728096600171,0.5755728096600173,0.003367100936511101,119
2021-03-02,2021-03-01,1,0.6339288938230341,0.6339288938230342,0.00370848402886475,118
2021-03-02,2021-03-01,2,0.6420478113910976,0.6420478113910975,0.0037559796966379205,118
2021-03-02,2021-03-01,3,0.494694965787981,0.4946949657879811,0.002893965549859689,119
2021-04-01,2021-04-01,0,0.4989949938130833,0.4989949938130833,0.002919120713806537,119
2021-04-01,2021-04-01,1,0.6793626846108256,0.6793626846108256,0.003974271704973329,118
2021-04-01,2021-04-01,2,0.7464313132720579,0.7464313132720579,0.004366623182641539,118
2021-04-01,2021-04-01,3,0.5919501170235677,0.5919501170235679,0.003462908184587872,119
2021-05-03,2021-05-01,0,0.6987023836505244,0.6987023836505243,0.004087408944355567,119
2021-05-03,2021-05-01,1,0.7570134474678227,0.7570134474678227,0.004428528667686763,118
2021-05-03,2021-05-01,2,0.7630031381152136,0.7630031381152138,0.0044635683579740005,118
2021-05-03,2021-05-01,3,0.6226919694250866,0.6226919694250865,0.0036427480211367563,119
2021-06-01,2021-06-01,0,0.5797388069989551,0.579738806998955,0.003391472020943887,119
2021-06-01,2021-06-01,1,0.751144534426622,0.7511445344266221,0.0043941955263957395,118
2021-06-01,2021-06-01,2,0.716899881008809,0.7168998810088091,0.004193864303901533,118
2021-06-01,2021-06-01,3,0.5556575611257106,0.5556575611257106,0.003250596732585407,119
2021-07-01,2021-07-01,0,0.440375752532328,0.4403757525323281,0.0025761981523141192,119
2021-07-01,2021-07-01,1,0.6349908677691126,0.6349908677691125,0.0037146965764493084,118
2021-07-01,2021-07-01,2,0.7049651856062147,0.7049651856062147,0.004124046335796356,118
2021-07-01,2021-07-01,3,0.5257375577169803,0.5257375577169805,0.0030755647126443353,119
2021-08-02,2021-08-01,0,0.5173678428451766,0.5173678428451765,0.003026601880644282,119
2021-08-02,2021-08-01,1,0.7549607702977659,0.7549607702977659,0.0044165205062419305,118
2021-08-02,2021-08-01,2,0.726932513454617,0.7269325134546167,0.004252555203709508,118
2021-08-02,2021-08-01,3,0.6011278260005339,0.6011278260005343,0.003516597782103125,119
2021-09-01,2021-09-01,0,0.5095153224048974,0.5095153224048974,0.00298066463606865,119
2021-09-01,2021-09-01,1,0.7021402694792785,0.7021402694792787,0.0041075205764537805,118
2021-09-01,2021-09-01,2,0.6337957919250825,0.6337957919250828,0.0037077053827617346,118
2021-09-01,2021-09-01,3,0.41701129798408293,0.417011297984083,0.0024395160932068854,119
2021-10-01,2021-10-01,0,0.546702120898282,0.5467021208982819,0.003198207407254949,119
2021-10-01,2021-10-01,1,0.7254108615217698,0.72541086152177,0.004243653539902355,118
2021-10-01,2021-10-01,2,0.7166513507935001,0.7166513507935002,0.004192410402141976,118
2021-10-01,2021-10-01,3,0.4952539767532663,0.49525397675326627,0.002897235764006608,119
2021-11-01,2021-11-01,0,0.5309064615253578,0.530906461525358,0.003105802799923344,119
2021-11-01,2021-11-01,1,0.6696128547809674,0.6696128547809677,0.003917235200468661,118
